brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
Lenovo,A6-9225,Amd,A6-9225 processor,10th,4,Ddr4,0,1024,Windows,64,0,Thinnlight,0,No,No,24990.0,32790,23,3.7,63,12
Lenovo,Ideapad,Amd,Apu dual,10th,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,19590.0,21325,8,3.6,1894,256
Avita,Pura,Amd,Apu dual,10th,4,Ddr4,128,0,Windows,64,0,Thinnlight,0,No,No,19990.0,27990,28,3.7,1153,159
Avita,Pura,Amd,Apu dual,10th,4,Ddr4,128,0,Windows,64,0,Thinnlight,0,No,No,21490.0,27990,23,3.7,1153,159
Avita,Pura,Amd,Apu dual,10th,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,24990.0,33490,25,3.7,1657,234
Avita,Pura,Amd,Apu dual,10th,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,24990.0,33490,25,3.7,1657,234
Hp,Apu,Amd,Apu dual,10th,4,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,20900.0,22825,8,3.9,1185,141
Lenovo,Apu,Amd,Apu dual,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,21896.0,0,0,3.9,219,18
Hp,Athlon,Amd,Athlon dual,10th,32,Ddr4,32,0,Windows,32,4,Casual,0,No,No,26899.0,27668,2,0.0,0,0
Acer,Aspire,Amd,Athlon dual,10th,4,Ddr4,256,0,Windows,64,0,Casual,1,No,No,31990.0,36990,13,4.2,76,13
Asus,Expertbook,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,34649.0,41990,17,2.3,3,0
Lenovo,Unknown,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,38999.0,42705,8,3.8,65,5
Lenovo,V15,Intel,Core i3,10th,4,Ddr4,0,1024,Windows,64,0,Casual,0,No,No,39999.0,43999,9,3.1,8,1
Asus,Expertbook,Intel,Core i5,10th,8,Ddr4,512,0,Windows,32,2,Casual,0,No,No,69990.0,0,0,0.0,0,0
Asus,Vivobook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,26990.0,28990,6,0.0,0,0
Asus,Eeebook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,22990.0,27990,17,0.0,0,0
Asus,Eeebook,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,32,0,Casual,0,No,No,21990.0,25990,15,3.5,31,3
Asus,Expertbook,Intel,Core i5,10th,8,Ddr4,0,1024,Windows,32,2,Casual,0,No,No,58799.0,77990,24,0.0,0,0
Lenovo,Unknown,Intel,Core i5,10th,4,Ddr4,0,1024,Windows,32,0,Casual,0,No,No,49999.0,59000,15,0.0,0,0
Acer,Aspire,Amd,Ryzen,10th,4,Ddr4,0,512,Windows,32,4,Casual,0,No,No,54990.0,89000,38,4.5,3190,414
Acer,Nitro,Amd,Ryzen 5,10th,4,Ddr4,0,512,Windows,32,4,Casual,0,No,No,59990.0,99999,40,4.5,1946,240
Acer,Nitro,Amd,Ryzen 5,10th,4,Ddr4,0,512,Windows,32,6,Casual,0,No,No,93700.0,139000,32,4.5,259,47
Acer,Nitro,Amd,Ryzen 5,10th,4,Ddr4,0,512,Windows,32,4,Casual,0,No,No,72990.0,99999,27,4.5,425,67
Avita,Cosmos,Intel,Celeron dual,Unknown,4,Ddr4,0,512,Windows,64,0,Casual,0,No,No,17490.0,23490,25,3.6,1120,196
Asus,Expertbook,Intel,Core i3,11th,4,Ddr4,256,0,Windows,64,0,Casual,0,No,No,35990.0,42990,16,0.0,0,0
Hp,X360,Intel,Core i3,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,Yes,No,56490.0,64923,12,0.0,0,0
Hp,X360,Intel,Core i5,11th,8,Ddr4,256,0,Windows,64,0,Casual,1,No,No,65390.0,76436,14,0.0,0,0
Lenovo,Ideapad,Intel,Celeron dual,Unknown,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,31999.0,38999,17,4.0,286,19
Hp,Celeron,Intel,Celeron dual,Unknown,8,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,32490.0,39288,17,4.0,58,6
Lenovo,Ideapad,Intel,Celeron dual,Unknown,4,Ddr4,256,0,Windows,64,0,Thinnlight,0,No,No,31799.0,36999,14,0.0,0,0
Asus,Vivobook,Intel,Celeron dual,Unknown,4,Ddr4,256,0,Windows,64,0,Casual,0,No,No,29890.0,33990,12,4.0,7,0
